Unix Time,Sample Index,Speed,Torque,Power,Efficiency,Voltage alpha,Voltage beta,Current alpha,Current beta,Error flags
1775463066,0,1500.0,0.5741679704215223,0.09768563394659491,92.32593062777408,-71.5850830078125,-10.565185546875,-0.9100781616210938,0.21431273803710937,0.0
,1,,,,,-71.37451171875,-16.3330078125,-0.9045882751464844,0.17049722900390626,0.0
,2,,,,,-70.843505859375,-21.1944580078125,-0.9018951232910156,0.10772607421875001,0.0
,3,,,,,-70.166015625,-25.9735107421875,-0.9105960754394532,0.0335608154296875,0.0
,4,,,,,-68.7835693359375,-31.072998046875,-0.8840788879394531,-0.038843536376953126,0.0
,5,,,,,-67.3828125,-35.2935791015625,-0.8727883666992188,-0.08990983886718751,0.0
,6,,,,,-66.009521484375,-38.983154296875,-0.8660554870605469,-0.13849015502929687,0.0
,7,,,,,-64.12353515625,-42.15087890625,-0.8443031066894532,-0.21638439331054687,0.0
,8,,,,,-63.519287109375,-42.6727294921875,-0.8488607482910157,-0.31354502563476566,0.0
,9,,,,,-60.5072021484375,-46.0693359375,-0.8319767578125,-0.3708262939453125,0.0
,10,,,,,-57.31201171875,-48.8616943359375,-0.817164422607422,-0.4430234802246094,0.0
,11,,,,,-54.8675537109375,-49.0814208984375,-0.7953084594726563,-0.4787595336914063,0.0
,12,,,,,-50.68359375,-51.89208984375,-0.8031807495117188,-0.5483671508789063,0.0
,13,,,,,-45.611572265625,-56.06689453125,-0.7508714538574219,-0.5453632507324219,0.0
,14,,,,,-40.704345703125,-60.7177734375,-0.7428955810546876,-0.5813064697265625,0.0
,15,,,,,-34.2132568359375,-64.1693115234375,-0.6992872375488282,-0.5890751770019531,0.0
,16,,,,,-30.816650390625,-67.7032470703125,-0.6774312744140625,-0.6510176696777344,0.0
,17,,,,,-26.07421875,-70.71533203125,-0.5942543151855469,-0.6463564453125,0.0
,18,,,,,-22.320556640625,-72.8851318359375,-0.570948193359375,-0.7206252868652344,0.0
,19,,,,,-17.999267578125,-74.615478515625,-0.47710220947265625,-0.7114064208984375,0.0
,20,,,,,-14.007568359375,-75.54931640625,-0.4414697387695313,-0.7652694580078125,0.0
,21,,,,,-8.8897705078125,-76.3641357421875,-0.3680295593261719,-0.7878505004882813,0.0
,22,,,,,-4.669189453125,-76.849365234375,-0.33177559204101564,-0.854454217529297,0.0
,23,,,,,-1.2176513671875,-76.9500732421875,-0.22239219360351564,-0.8393311340332031,0.0
,24,,,,,2.069091796875,-76.6754150390625,-0.15765296630859377,-0.8630515869140625,0.0
,25,,,,,3.936767578125,-75.9979248046875,-0.08576652832031251,-0.8611870971679688,0.0
,26,,,,,7.7545166015625,-74.7161865234375,-0.060492333984375,-0.8869792053222657,0.0
,27,,,,,11.7279052734375,-72.8302001953125,-0.001346575927734375,-0.8859433776855469,0.0
,28,,,,,14.8223876953125,-70.5413818359375,0.05085913696289063,-0.8924690917968751,0.0
,29,,,,,20.654296875,-68.3074951171875,0.08970267333984375,-0.8976482299804688,0.0
,30,,,,,26.5869140625,-65.7623291015625,0.13030711669921877,-0.8889472778320313,0.0
,31,,,,,32.061767578125,-63.372802734375,0.145015869140625,-0.8770352600097656,0.0
,32,,,,,37.82958984375,-61.1572265625,0.1843773193359375,-0.859322607421875,0.0
