Unix Time,Sample Index,Speed,Torque,Power,Efficiency,Voltage alpha,Voltage beta,Current alpha,Current beta,Error flags
1775462360,0,3000.0,0.2868234625200412,0.09767447537896849,92.25268464105883,41.0888671875,-60.3973388671875,0.20447237548828126,-0.8815929016113282,0.0
,1,,,,,45.648193359375,-57.8338623046875,0.2465269775390625,-0.8474105895996094,0.0
,2,,,,,51.873779296875,-52.40478515625,0.328978857421875,-0.8081527221679687,0.0
,3,,,,,55.0140380859375,-52.40478515625,0.35870711059570315,-0.7836036071777344,0.0
,4,,,,,60.498046875,-47.076416015625,0.41049849243164066,-0.7601939025878907,0.0
,5,,,,,61.6973876953125,-47.076416015625,0.48248851318359376,-0.7001158996582032,0.0
,6,,,,,66.229248046875,-40.960693359375,0.5515782165527344,-0.6506033386230469,0.0
,7,,,,,66.668701171875,-40.960693359375,0.6087559020996094,-0.6037839294433593,0.0
,8,,,,,69.232177734375,-36.43798828125,0.6817817504882813,-0.5647332275390625,0.0
,9,,,,,68.4173583984375,-36.43798828125,0.7357483703613281,-0.524543115234375,0.0
,10,,,,,70.60546875,-30.4595947265625,0.7919938110351563,-0.47762012329101566,0.0
,11,,,,,68.7103271484375,-30.4595947265625,0.8351878234863281,-0.4344261108398438,0.0
,12,,,,,72.5921630859375,-19.8760986328125,0.8744456909179688,-0.4088411682128906,0.0
,13,,,,,69.9737548828125,-19.8760986328125,0.881696484375,-0.3890568603515625,0.0
,14,,,,,73.8006591796875,-8.4503173828125,0.88998310546875,-0.3518706481933594,0.0
,15,,,,,70.8160400390625,-8.4503173828125,0.9037596130371094,-0.3082623046875,0.0
,16,,,,,75.238037109375,4.0557861328125,0.904070361328125,-0.2549171813964844,0.0
,17,,,,,72.25341796875,4.0557861328125,0.9169146240234375,-0.21607364501953125,0.0
,18,,,,,75.164794921875,13.80615234375,0.9160859619140626,-0.15817088012695313,0.0
,19,,,,,68.66455078125,13.80615234375,0.9530650085449219,-0.08587011108398437,0.0
,20,,,,,74.5330810546875,23.9776611328125,0.9427067321777344,-0.003625396728515625,0.0
,21,,,,,67.63916015625,23.9776611328125,0.9402207458496094,0.047958819580078124,0.0
