Unix Time,Sample Index,Speed,Torque,Power,Efficiency,Voltage alpha,Voltage beta,Current alpha,Current beta,Error flags
1775462649,0,3000.0,0.28572122353977175,0.09752528198425477,92.03874879513516,25.8544921875,-65.5059814453125,0.093638818359375,-0.9022058715820312,0.0
,1,,,,,32.4005126953125,-63.39111328125,0.11342312622070314,-0.8980625610351562,0.0
,2,,,,,38.2965087890625,-61.2762451171875,0.1795089294433594,-0.868437890625,0.0
,3,,,,,43.06640625,-58.6578369140625,0.20488670654296876,-0.8489643310546875,0.0
,4,,,,,47.5433349609375,-56.1676025390625,0.2788447998046875,-0.8250367126464844,0.0
,5,,,,,52.294921875,-52.9266357421875,0.3056727355957031,-0.8099136291503907,0.0
,6,,,,,56.121826171875,-49.62158203125,0.3559103759765625,-0.8039058288574219,0.0
,7,,,,,59.1156005859375,-46.5911865234375,0.404387109375,-0.7693091857910157,0.0
,8,,,,,61.7431640625,-43.24951171875,0.4871497375488281,-0.7194858764648437,0.0
,9,,,,,64.56298828125,-38.9190673828125,0.5405984436035156,-0.6724593017578125,0.0
,10,,,,,66.595458984375,-34.9822998046875,0.5948758117675781,-0.6348587585449219,0.0
,11,,,,,67.327880859375,-33.3709716796875,0.6733915466308594,-0.5720876037597656,0.0
,12,,,,,68.4906005859375,-29.8736572265625,0.7245614318847656,-0.534487060546875,0.0
,13,,,,,69.0399169921875,-26.77001953125,0.7828785278320313,-0.48041685791015626,0.0
,14,,,,,68.8018798828125,-23.40087890625,0.8185109985351563,-0.4684012573242188,0.0
,15,,,,,69.488525390625,-17.9534912109375,0.852693310546875,-0.43732642822265627,0.0
,16,,,,,69.9554443359375,-12.6708984375,0.8575617004394531,-0.4075981750488281,0.0
,17,,,,,70.4681396484375,-6.73828125,0.8887401123046875,-0.3608823486328125,0.0
,18,,,,,72.747802734375,3.1768798828125,0.8856326293945312,-0.30929813232421877,0.0
,19,,,,,71.173095703125,5.9234619140625,0.8978553955078126,-0.264343212890625,0.0
,20,,,,,71.356201171875,11.4349365234375,0.8919511779785156,-0.218766796875,0.0
,21,,,,,71.5118408203125,16.69921875,0.9075921752929688,-0.17142947387695312,0.0
,22,,,,,70.9716796875,22.0733642578125,0.8919511779785156,-0.10669024658203126,0.0
,23,,,,,70.56884765625,26.5228271484375,0.8837681396484375,-0.037807708740234376,0.0
,24,,,,,70.2117919921875,30.5877685546875,0.8768280944824219,0.030971246337890626,0.0
,25,,,,,68.9483642578125,34.2498779296875,0.8794176635742188,0.09135999755859375,0.0
,26,,,,,66.705322265625,38.78173828125,0.8705095458984375,0.1944248474121094,0.0
,27,,,,,64.3890380859375,42.1783447265625,0.8650196594238282,0.2514989501953125,0.0
,28,,,,,63.6566162109375,42.29736328125,0.8621193420410157,0.3333293334960938,0.0
,29,,,,,61.23046875,43.9453125,0.870923876953125,0.4136059753417969,0.0
,30,,,,,57.916259765625,47.149658203125,0.8443031066894532,0.47016216430664065,0.0
,31,,,,,55.0323486328125,49.127197265625,0.8437851928710938,0.5111809387207031,0.0
,32,,,,,51.08642578125,52.3956298828125,0.8106387084960938,0.5412199401855469,0.0
,33,,,,,46.6461181640625,56.06689453125,0.79054365234375,0.5408056091308594,0.0
,34,,,,,41.253662109375,60.1409912109375,0.75408251953125,0.5658726379394532,0.0
,35,,,,,34.6343994140625,63.46435546875,0.7204181213378906,0.5855533630371094,0.0
,36,,,,,31.7779541015625,66.02783203125,0.6795029296875,0.6313369445800782,0.0
,37,,,,,27.2003173828125,68.7652587890625,0.6153851989746094,0.6323727722167969,0.0
,38,,,,,22.210693359375,71.4202880859375,0.5899038391113282,0.6732879638671875,0.0
,39,,,,,17.6422119140625,73.35205078125,0.5127346801757813,0.6834390747070312,0.0
,40,,,,,14.0167236328125,74.30419921875,0.47969177856445316,0.7616440612792968,0.0
,41,,,,,9.4757080078125,74.8260498046875,0.4165062927246094,0.8143676879882813,0.0
