Unix Time,Sample Index,Speed,Torque,Power,Efficiency,Voltage alpha,Voltage beta,Current alpha,Current beta,Error flags
1775462289,0,1500.0,0.5739475727301301,0.09793513690877466,92.05537072154617,-44.879150390625,56.2957763671875,-0.20903001708984376,0.8912260986328125,0.0
,1,,,,,-49.2645263671875,53.485107421875,-0.2713868408203125,0.8602548522949219,0.0
,2,,,,,-53.1280517578125,50.8209228515625,-0.34109804077148437,0.8374666442871094,0.0
,3,,,,,-56.6070556640625,47.9095458984375,-0.38750311889648437,0.8043201599121094,0.0
,4,,,,,-60.1409912109375,44.4488525390625,-0.44809903564453124,0.7610225646972657,0.0
,5,,,,,-63.079833984375,40.9515380859375,-0.5157385803222656,0.6972155822753906,0.0
,6,,,,,-64.9017333984375,37.628173828125,-0.5920790771484375,0.6462528625488282,0.0
,7,,,,,-67.1630859375,33.9202880859375,-0.6554717285156251,0.6056484191894531,0.0
,8,,,,,-69.0216064453125,29.901123046875,-0.6978370788574219,0.5681514587402344,0.0
,9,,,,,-68.756103515625,28.6651611328125,-0.7611261474609375,0.5006154968261719,0.0
,10,,,,,-68.4356689453125,26.348876953125,-0.8057703186035157,0.46674393310546874,0.0
,11,,,,,-68.9849853515625,22.210693359375,-0.8232758056640626,0.4392945007324219,0.0
,12,,,,,-69.085693359375,17.633056640625,-0.8621193420410157,0.3965148193359375,0.0
,13,,,,,-70.1019287109375,11.8194580078125,-0.8971303161621094,0.36202175903320316,0.0
,14,,,,,-71.044921875,6.6192626953125,-0.8937120849609376,0.3259749572753906,0.0
,15,,,,,-74.1119384765625,-3.3416748046875,-0.9090423339843751,0.29893985595703126,0.0
,16,,,,,-75.9613037109375,-6.5460205078125,-0.9084208374023438,0.23896543579101565,0.0
,17,,,,,-72.4639892578125,-11.9842529296875,-0.9256155761718751,0.20115772705078125,0.0
,18,,,,,-72.235107421875,-16.3970947265625,-0.9293445556640625,0.12067391967773437,0.0
,19,,,,,-71.9879150390625,-20.745849609375,-0.94301748046875,0.060595916748046874,0.0
,20,,,,,-71.502685546875,-24.8382568359375,-0.9381490905761719,-0.020095056152343752,0.0
,21,,,,,-70.3399658203125,-30.06591796875,-0.9326592041015626,-0.07033269653320312,0.0
,22,,,,,-68.975830078125,-34.515380859375,-0.9274800659179688,-0.13424326171875,0.0
,23,,,,,-67.49267578125,-37.46337890625,-0.9110104064941407,-0.15299174194335938,0.0
,24,,,,,-66.522216796875,-38.690185546875,-0.9026202026367188,-0.25740316772460936,0.0
,25,,,,,-63.61083984375,-41.656494140625,-0.8949550781250001,-0.31851699829101565,0.0
,26,,,,,-61.0198974609375,-43.9544677734375,-0.8802463256835937,-0.39993305053710937,0.0
,27,,,,,-58.721923828125,-45.2728271484375,-0.8556972106933594,-0.4302828002929688,0.0
,28,,,,,-54.8492431640625,-48.541259765625,-0.8655375732421875,-0.5052767211914063,0.0
,29,,,,,-50.6927490234375,-51.0406494140625,-0.8451317687988281,-0.532829736328125,0.0
,30,,,,,-45.1995849609375,-55.11474609375,-0.8363272338867188,-0.6006764465332032,0.0
,31,,,,,-39.8712158203125,-58.831787109375,-0.7887827453613282,-0.6036803466796875,0.0
,32,,,,,-31.6680908203125,-61.6241455078125,-0.78059970703125,-0.6610651977539063,0.0
,33,,,,,-30.4046630859375,-64.6728515625,-0.7229041076660156,-0.6722521362304688,0.0
