Unix Time,Sample Index,Speed,Torque,Power,Efficiency,Voltage alpha,Voltage beta,Current alpha,Current beta,Error flags
1775462656,0,3000.0,0.28742338826370795,0.09802244380694608,92.1174741439931,-5.2093505859375,72.7294921875,0.10751890869140625,0.9248904968261719,0.0
,1,,,,,-11.5631103515625,72.0245361328125,0.0683646240234375,0.9485073669433594,0.0
,2,,,,,-12.0208740234375,71.22802734375,0.018334149169921876,0.9369060974121094,0.0
,3,,,,,-15.0238037109375,69.3878173828125,-0.047958819580078124,0.9257191589355469,0.0
,4,,,,,-21.1578369140625,67.1539306640625,-0.070436279296875,0.9169146240234375,0.0
,5,,,,,-27.447509765625,64.70947265625,-0.11373387451171875,0.902413037109375,0.0
,6,,,,,-32.8125,62.51220703125,-0.16107119750976562,0.8657447387695313,0.0
,7,,,,,-38.3880615234375,60.24169921875,-0.20871926879882813,0.8622229248046875,0.0
,8,,,,,-44.0643310546875,57.3028564453125,-0.2673471130371094,0.8307337646484375,0.0
,9,,,,,-50.6103515625,51.5350341796875,-0.3219352294921875,0.8075312255859375,0.0
,10,,,,,-53.0181884765625,51.5350341796875,-0.3724836181640625,0.7652694580078125,0.0
,11,,,,,-58.99658203125,44.7784423828125,-0.41505613403320313,0.7378200256347657,0.0
,12,,,,,-60.31494140625,44.7784423828125,-0.48383508911132816,0.6859250610351563,0.0
,13,,,,,-65.313720703125,37.9852294921875,-0.559346923828125,0.6627225219726562,0.0
,14,,,,,-65.6707763671875,37.9852294921875,-0.6270900512695313,0.6035767639160157,0.0
,15,,,,,-69.2962646484375,31.9610595703125,-0.6857178955078125,0.5505423889160156,0.0
,16,,,,,-68.8568115234375,31.9610595703125,-0.7303620666503906,0.5233001220703125,0.0
,17,,,,,-71.37451171875,25.9368896484375,-0.7804961242675782,0.4724409851074219,0.0
,18,,,,,-69.818115234375,25.9368896484375,-0.8180966674804688,0.4302828002929688,0.0
,19,,,,,-72.5830078125,18.365478515625,-0.8500001586914063,0.39547899169921874,0.0
,20,,,,,-91.5618896484375,-18.3929443359375,-0.8841824707031251,0.35632470703125,0.0
,21,,,,,-81.70166015625,-6.2347412109375,-0.9012736267089844,0.3218316467285156,0.0
,22,,,,,-78.9459228515625,-6.2347412109375,-0.90655634765625,0.3116805358886719,0.0
,23,,,,,-75.7415771484375,-5.0537109375,-0.9093530822753907,0.24963446044921875,0.0
,24,,,,,-72.6654052734375,-5.0537109375,-0.9062455993652344,0.2125518310546875,0.0
,25,,,,,-76.025390625,-16.973876953125,-0.9138071411132813,0.13527908935546876,0.0
,26,,,,,-70.220947265625,-16.973876953125,-0.9053133544921875,0.09042775268554688,0.0
,27,,,,,-75.3662109375,-25.872802734375,-0.9146358032226563,0.010979772949218751,0.0
,28,,,,,-69.085693359375,-25.872802734375,-0.901584375,-0.030556915283203125,0.0
,29,,,,,-73.9013671875,-34.222412109375,-0.9153608825683595,-0.12523156127929688,0.0
,30,,,,,-65.423583984375,-34.222412109375,-0.8924690917968751,-0.15071292114257814,0.0
,31,,,,,-68.170166015625,-38.983154296875,-0.9021022888183594,-0.2498416259765625,0.0
,32,,,,,-63.2720947265625,-38.983154296875,-0.8782782531738281,-0.3025652526855469,0.0
,33,,,,,-66.375732421875,-44.3572998046875,-0.8619121765136719,-0.37932008056640626,0.0
,34,,,,,-57.8704833984375,-44.3572998046875,-0.8508288208007813,-0.42582874145507815,0.0
,35,,,,,-60.3424072265625,-48.6328125,-0.833737664794922,-0.48891064453125,0.0
,36,,,,,-49.6856689453125,-48.6328125,-0.8218256469726563,-0.5329333190917969,0.0
,37,,,,,-51.0772705078125,-51.0406494140625,-0.8329090026855469,-0.5913539978027343,0.0
,38,,,,,-38.4521484375,-54.8126220703125,-0.8081527221679687,-0.6001585327148438,0.0
,39,,,,,-40.869140625,-59.0057373046875,-0.75739716796875,-0.6183890991210937,0.0
,40,,,,,-29.55322265625,-62.8509521484375,-0.7463138122558594,-0.6627225219726562,0.0
,41,,,,,-31.3018798828125,-65.88134765625,-0.7059165344238282,-0.6966976684570313,0.0
,42,,,,,-19.976806640625,-68.5638427734375,-0.6561968078613282,-0.7298441528320313,0.0
,43,,,,,-21.5057373046875,-71.2188720703125,-0.5795455627441406,-0.749110546875,0.0
,44,,,,,-12.4969482421875,-73.35205078125,-0.5158421630859376,-0.7957227905273437,0.0
,45,,,,,-13.201904296875,-74.578857421875,-0.436704931640625,-0.8101207946777343,0.0
,46,,,,,-3.0303955078125,-75.3204345703125,-0.3951682434082031,-0.8635695007324219,0.0
,47,,,,,-3.3782958984375,-75.91552734375,-0.34720942382812503,-0.8917440124511719,0.0
,48,,,,,3.4881591796875,-75.494384765625,-0.2830916931152344,-0.9434318115234376,0.0
,49,,,,,3.84521484375,-74.871826171875,-0.19245677490234375,-0.938874169921875,0.0
,50,,,,,10.2996826171875,-74.0936279296875,-0.12657813720703126,-0.9331771179199219,0.0
,51,,,,,11.077880859375,-72.7386474609375,-0.06608580322265625,-0.9341093627929687,0.0
,52,,,,,13.7603759765625,-71.2188720703125,-0.005697052001953125,-0.9408422424316406,0.0
,53,,,,,17.7886962890625,-69.3695068359375,0.030556915283203125,-0.9415673217773438,0.0
,54,,,,,22.467041015625,-67.181396484375,0.07675482788085938,-0.9334878662109375,0.0
,55,,,,,27.777099609375,-65.1947021484375,0.0828662109375,-0.9410494079589844,0.0
,56,,,,,34.0850830078125,-62.36572265625,0.15734221801757814,-0.909974578857422,0.0
,57,,,,,40.2557373046875,-59.50927734375,0.1760906982421875,-0.9052097717285157,0.0
,58,,,,,47.1588134765625,-53.759765625,0.22094203491210937,-0.8897759399414062,0.0
,59,,,,,50.3173828125,-53.759765625,0.277601806640625,-0.8450281860351563,0.0
,60,,,,,56.7901611328125,-47.7447509765625,0.3418231201171875,-0.8075312255859375,0.0
,61,,,,,58.8226318359375,-47.7447509765625,0.39392525024414066,-0.7621619750976563,0.0
,62,,,,,63.446044921875,-42.4530029296875,0.4765842956542969,-0.7172070556640625,0.0
,63,,,,,64.8651123046875,-42.4530029296875,0.5347978088378906,-0.6775348571777344,0.0
,64,,,,,69.7265625,-35.55908203125,0.5993298706054687,-0.6333050170898438,0.0
,65,,,,,69.8272705078125,-35.55908203125,0.6686267395019532,-0.5879357666015625,0.0
,66,,,,,71.6400146484375,-31.2469482421875,0.7329516357421875,-0.5433951782226563,0.0
,67,,,,,70.440673828125,-31.2469482421875,0.7755241516113281,-0.4931575378417969,0.0
,68,,,,,73.187255859375,-23.91357421875,0.8258653747558594,-0.4498599426269531,0.0
,69,,,,,70.6695556640625,-23.91357421875,0.8719597045898437,-0.40386919555664064,0.0
,70,,,,,74.5330810546875,-13.1561279296875,0.8819036499023438,-0.3806666564941406,0.0
,71,,,,,72.015380859375,-13.1561279296875,0.9045882751464844,-0.3478309204101563,0.0
,72,,,,,78.9093017578125,3.1402587890625,0.8894651916503906,-0.3272179504394531,0.0
,73,,,,,75.7232666015625,3.1402587890625,0.9081100891113282,-0.26796860961914065,0.0
,74,,,,,77.2796630859375,10.7757568359375,0.9211615173339844,-0.22353160400390626,0.0
,75,,,,,74.59716796875,10.7757568359375,0.9346272766113282,-0.16355718383789064,0.0
,76,,,,,77.1331787109375,19.95849609375,0.9102853271484376,-0.10265051879882812,0.0
,77,,,,,70.3948974609375,19.95849609375,0.932244873046875,-0.018334149169921876,0.0
,78,,,,,75.970458984375,29.608154296875,0.9195041931152345,0.05293079223632813,0.0
,79,,,,,68.66455078125,29.608154296875,0.9541008361816407,0.14978067626953126,0.0
,80,,,,,72.6287841796875,36.4654541015625,0.9416709045410157,0.21493423461914063,0.0
,81,,,,,63.3636474609375,36.4654541015625,0.9532721740722656,0.290860400390625,0.0
,82,,,,,66.3665771484375,41.656494140625,0.9297588867187501,0.34948824462890626,0.0
,83,,,,,60.7269287109375,41.656494140625,0.9325556213378906,0.4137095581054688,0.0
