Unix Time,Sample Index,Speed,Torque,Power,Efficiency,Voltage alpha,Voltage beta,Current alpha,Current beta,Error flags
1775463262,0,3000.0,0.29050396751567226,0.09574065180531378,95.3237293254294,-11.3250732421875,-74.853515625,-0.5070376281738281,-0.7319158081054687,0.0
,1,,,,,-2.4169921875,-76.46484375,-0.3962040710449219,-0.7987266906738282,0.0
,2,,,,,1.9683837890625,-76.3641357421875,-0.24580189819335937,-0.8652268249511719,0.0
,3,,,,,9.1461181640625,-75.29296875,-0.09146358032226563,-0.8772424255371094,0.0
,4,,,,,16.0400390625,-71.392822265625,0.03822203979492188,-0.87672451171875,0.0
,5,,,,,27.13623046875,-67.3004150390625,0.12833904418945313,-0.8887401123046875,0.0
,6,,,,,38.0035400390625,-62.713623046875,0.1732939636230469,-0.8995127197265625,0.0
,7,,,,,47.0947265625,-58.0535888671875,0.2588533264160156,-0.8677128112792969,0.0
,8,,,,,55.3070068359375,-51.6632080078125,0.38449921875000004,-0.794686962890625,0.0
,9,,,,,60.150146484375,-45.9503173828125,0.5269255187988281,-0.7148246520996094,0.0
,10,,,,,65.3961181640625,-37.994384765625,0.6170425231933594,-0.6512248352050781,0.0
,11,,,,,66.668701171875,-33.4808349609375,0.7469353088378906,-0.5412199401855469,0.0
,12,,,,,67.7947998046875,-26.6693115234375,0.836120068359375,-0.48259209594726565,0.0
,13,,,,,70.3399658203125,-10.83984375,0.8826287292480469,-0.4209603515625,0.0
,14,,,,,71.5667724609375,3.350830078125,0.9255119934082031,-0.3207958190917969,0.0
,15,,,,,68.4356689453125,8.9080810546875,0.9235439208984375,-0.24600906372070314,0.0
,16,,,,,67.108154296875,20.489501953125,0.9356631042480469,-0.12585305786132814,0.0
,17,,,,,65.29541015625,29.9652099609375,0.9307947143554688,-0.000828662109375,0.0
,18,,,,,60.8642578125,38.2965087890625,0.9284123107910156,0.13600416870117188,0.0
,19,,,,,58.154296875,42.718505859375,0.8878078674316406,0.2810200378417969,0.0
,20,,,,,53.2379150390625,48.15673828125,0.8784854187011719,0.42676098632812504,0.0
,21,,,,,43.8995361328125,52.4871826171875,0.8305265991210937,0.5196747253417969,0.0
,22,,,,,36.895751953125,60.31494140625,0.7974836975097657,0.5764380798339844,0.0
,23,,,,,24.609375,67.291259765625,0.7301549011230469,0.6135207092285156,0.0
