Unix Time,Sample Index,Speed,Torque,Power,Efficiency,Voltage alpha,Voltage beta,Current alpha,Current beta,Error flags
1775463059,0,1500.0,0.5715784718595102,0.0974022401372914,92.17695045939423,63.02490234375,41.455078125,0.8663662353515625,0.3873995361328125,0.0
,1,,,,,60.5438232421875,44.4305419921875,0.8454425170898437,0.41547046508789065,0.0
,2,,,,,58.099365234375,46.453857421875,0.8719597045898437,0.488081982421875,0.0
,3,,,,,54.8858642578125,49.1455078125,0.8220328125,0.5027907348632813,0.0
,4,,,,,51.214599609375,51.7547607421875,0.802973583984375,0.5516817993164063,0.0
,5,,,,,38.6444091796875,55.7281494140625,0.7342982116699219,0.5401841125488281,0.0
,6,,,,,27.8228759765625,59.4268798828125,0.72093603515625,0.5815136352539063,0.0
,7,,,,,30.1116943359375,62.603759765625,0.6590971252441407,0.6094809814453125,0.0
,8,,,,,31.988525390625,65.8355712890625,0.6555753112792969,0.6526749938964844,0.0
,9,,,,,27.0721435546875,68.975830078125,0.5766452453613281,0.6474958557128907,0.0
,10,,,,,22.30224609375,71.0357666015625,0.5275470153808594,0.6737022949218751,0.0
,11,,,,,18.804931640625,72.2808837890625,0.43939808349609377,0.7114064208984375,0.0
,12,,,,,14.53857421875,73.443603515625,0.40790892333984374,0.7802889587402344,0.0
,13,,,,,9.613037109375,74.2767333984375,0.377041259765625,0.8256582092285156,0.0
,14,,,,,4.742431640625,74.5697021484375,0.328978857421875,0.862740838623047,0.0
,15,,,,,1.06201171875,74.2950439453125,0.23689378051757815,0.8805570739746094,0.0
,16,,,,,-0.933837890625,74.2218017578125,0.1976359130859375,0.9245797485351562,0.0
,17,,,,,-4.3853759765625,73.406982421875,0.11280162963867188,0.9255119934082031,0.0
,18,,,,,-8.3770751953125,72.3175048828125,0.06888253784179688,0.9387705871582032,0.0
,19,,,,,-11.6363525390625,70.9625244140625,0.01636607666015625,0.9323484558105469,0.0
,20,,,,,-15.765380859375,69.287109375,-0.028070928955078126,0.9242690002441406,0.0
,21,,,,,-20.3338623046875,67.1173095703125,-0.09508897705078126,0.9103889099121094,0.0
,22,,,,,-26.4862060546875,65.057373046875,-0.12792471313476564,0.8948514953613281,0.0
,23,,,,,-32.5103759765625,62.51220703125,-0.14822693481445312,0.8950586608886719,0.0
,24,,,,,-37.82958984375,60.223388671875,-0.19525350952148438,0.86346591796875,0.0
,25,,,,,-43.3135986328125,57.8338623046875,-0.22094203491210937,0.8629480041503906,0.0
,26,,,,,-48.6968994140625,54.7576904296875,-0.30101151123046876,0.8107422912597656,0.0
,27,,,,,-53.13720703125,51.910400390625,-0.3691689697265625,0.771484423828125,0.0
,28,,,,,-56.50634765625,49.47509765625,-0.42655382080078125,0.7374056945800781,0.0
,29,,,,,-59.9853515625,45.941162109375,-0.47389114379882813,0.7171034729003907,0.0
,30,,,,,-63.0706787109375,41.7938232421875,-0.5399769470214844,0.6688339050292968,0.0
,31,,,,,-65.66162109375,38.0401611328125,-0.5788204833984375,0.6280222961425781,0.0
,32,,,,,-67.254638671875,35.0738525390625,-0.6349623413085937,0.5873142700195313,0.0
,33,,,,,-68.0511474609375,33.2794189453125,-0.7111992553710937,0.5281685119628906,0.0
,34,,,,,-69.085693359375,29.901123046875,-0.7511822021484376,0.4877712341308594,0.0
,35,,,,,-69.9554443359375,26.275634765625,-0.7989338562011719,0.44737395629882815,0.0
,36,,,,,-69.671630859375,23.712158203125,-0.8235865539550782,0.4206496032714844,0.0
,37,,,,,-73.5809326171875,13.238525390625,-0.8434744445800781,0.38760670166015626,0.0
,38,,,,,-86.3616943359375,-13.2659912109375,-0.8813857360839844,0.353838720703125,0.0
,39,,,,,-77.0050048828125,-1.9317626953125,-0.8898795227050782,0.3148916015625,0.0
,40,,,,,-74.102783203125,-1.9317626953125,-0.8953694091796875,0.2887887451171875,0.0
,41,,,,,-76.2451171875,-10.21728515625,-0.9210579345703125,0.2192847106933594,0.0
,42,,,,,-73.2421875,-10.21728515625,-0.9267549865722656,0.173190380859375,0.0
,43,,,,,-72.9766845703125,-15.948486328125,-0.9340057800292969,0.08607727661132812,0.0
,44,,,,,-72.564697265625,-21.331787109375,-0.9212651000976563,0.039465032958984375,0.0
,45,,,,,-72.1160888671875,-25.1312255859375,-0.9219901794433594,-0.0451620849609375,0.0
,46,,,,,-71.08154296875,-29.095458984375,-0.8934013366699219,-0.07354376220703125,0.0
,47,,,,,-70.05615234375,-33.0596923828125,-0.8840788879394531,-0.1351755065917969,0.0
,48,,,,,-68.206787109375,-37.8204345703125,-0.8824215637207031,-0.20157205810546874,0.0
,49,,,,,-65.8721923828125,-41.2353515625,-0.8825251464843751,-0.3045333251953125,0.0
,50,,,,,-65.093994140625,-41.4459228515625,-0.8631551696777344,-0.36647581787109373,0.0
,51,,,,,-62.7593994140625,-43.5791015625,-0.8622229248046875,-0.4447843872070313,0.0
,52,,,,,-59.2071533203125,-46.453857421875,-0.8447174377441407,-0.4777237060546875,0.0
,53,,,,,-56.0302734375,-48.2025146484375,-0.8241044677734375,-0.5202962219238282,0.0
,54,,,,,-45.1995849609375,-51.26953125,-0.8204790710449219,-0.563490234375,0.0
,55,,,,,-47.0947265625,-54.5379638671875,-0.793029638671875,-0.5845175354003906,0.0
,56,,,,,-29.84619140625,-58.19091796875,-0.7925117248535156,-0.619010595703125,0.0
,57,,,,,-32.0892333984375,-62.091064453125,-0.7355412048339844,-0.6217037475585938,0.0
,58,,,,,-24.79248046875,-65.4876708984375,-0.7047771240234375,-0.6671765808105469,0.0
,59,,,,,-26.33056640625,-68.15185546875,-0.6361017517089844,-0.6910006164550782,0.0
,60,,,,,-22.1466064453125,-70.4864501953125,-0.6139350402832031,-0.7610225646972657,0.0
,61,,,,,-17.3492431640625,-72.7294921875,-0.5371802124023438,-0.7835000244140625,0.0
,62,,,,,-13.00048828125,-74.30419921875,-0.4746162231445313,-0.8217220642089844,0.0
,63,,,,,-9.1278076171875,-75.128173828125,-0.3945467468261719,-0.8322875061035157,0.0
,64,,,,,-4.87060546875,-75.4302978515625,-0.3465879272460938,-0.8815929016113282,0.0
,65,,,,,0.54931640625,-75.3936767578125,-0.2655862060546875,-0.8819036499023438,0.0
,66,,,,,5.035400390625,-75.0274658203125,-0.22581042480468752,-0.926547821044922,0.0
,67,,,,,6.3446044921875,-74.59716796875,-0.151645166015625,-0.9283087280273438,0.0
,68,,,,,9.6954345703125,-73.681640625,-0.055520361328125004,-0.9359738525390625,0.0
