Unix Time,Sample Index,Speed,Torque,Power,Efficiency,Voltage alpha,Voltage beta,Current alpha,Current beta,Error flags
1775460671,0,2999.908447265625,0.29822231123512943,0.09793363326411342,95662.21868419998,60.5987548828125,41.8853759765625,0.901584375,0.3321899230957031,0.0
,1,,,,,58.59375,43.5516357421875,0.9035524475097656,0.4094626647949219,0.0
,2,,,,,53.8970947265625,43.5516357421875,0.9092494995117187,0.47109440917968753,0.0
,3,,,,,51.9561767578125,48.7060546875,0.9089387512207031,0.5236108703613281,0.0
,4,,,,,47.4517822265625,48.7060546875,0.8983733093261719,0.5473313232421875,0.0
,5,,,,,44.2657470703125,54.4097900390625,0.8632587524414063,0.5853461975097657,0.0
,6,,,,,36.309814453125,54.4097900390625,0.8299051025390626,0.579234814453125,0.0
,7,,,,,32.3272705078125,62.1002197265625,0.8019377563476563,0.6000549499511719,0.0
,8,,,,,26.8707275390625,62.1002197265625,0.7534610229492188,0.6266757202148437,0.0
,9,,,,,23.9227294921875,68.3990478515625,0.696904833984375,0.6618938598632813,0.0
,10,,,,,16.5618896484375,68.3990478515625,0.6286437927246094,0.6601329528808594,0.0
,11,,,,,13.1744384765625,73.0224609375,0.5851390319824219,0.6757739501953125,0.0
,12,,,,,8.4320068359375,73.0224609375,0.499683251953125,0.7053986206054688,0.0
,13,,,,,5.0262451171875,74.8443603515625,0.45037785644531253,0.7702414306640625,0.0
,14,,,,,0.0457763671875,75.4302978515625,0.39050701904296875,0.8408848754882813,0.0
,15,,,,,0.10986328125,75.5401611328125,0.35166348266601566,0.8835609741210938,0.0
,16,,,,,-4.8980712890625,75.091552734375,0.24787355346679688,0.8638802490234375,0.0
,17,,,,,-4.8980712890625,75.091552734375,0.16055328369140626,0.8782782531738281,0.0
,18,,,,,-11.2060546875,73.1689453125,0.082037548828125,0.8939192504882812,0.0
,19,,,,,-11.2060546875,73.1689453125,0.03873995361328125,0.9023094543457032,0.0
,20,,,,,-17.486572265625,70.0103759765625,-0.0033146484375,0.922404510498047,0.0
,21,,,,,-17.486572265625,70.0103759765625,-0.02506702880859375,0.9257191589355469,0.0
,22,,,,,-28.74755859375,65.5059814453125,-0.09011700439453126,0.8990983886718751,0.0
,23,,,,,-28.74755859375,65.5059814453125,-0.14232271728515625,0.8660554870605469,0.0
,24,,,,,-39.4866943359375,61.322021484375,-0.21151600341796875,0.8455460998535157,0.0
,25,,,,,-39.4866943359375,61.322021484375,-0.2627894714355469,0.8288692749023437,0.0
,26,,,,,-49.6124267578125,56.6619873046875,-0.29241414184570313,0.8243116333007813,0.0
,27,,,,,-49.6124267578125,56.6619873046875,-0.33312216796875,0.8050452392578126,0.0
,28,,,,,-56.7901611328125,51.4617919921875,-0.4066659301757813,0.7538753540039063,0.0
,29,,,,,-56.7901611328125,51.4617919921875,-0.47088724365234375,0.720210955810547,0.0
,30,,,,,-61.907958984375,45.4193115234375,-0.5317939086914063,0.6942116821289063,0.0
,31,,,,,-61.907958984375,45.4193115234375,-0.5938399841308594,0.6549538146972657,0.0
,32,,,,,-66.2109375,37.6739501953125,-0.66458701171875,0.6045090087890626,0.0
,33,,,,,-65.9271240234375,37.20703125,-0.7320193908691407,0.5395626159667969,0.0
,34,,,,,-67.8863525390625,33.8104248046875,-0.7768707275390625,0.4964721862792969,0.0
,35,,,,,-67.78564453125,29.6905517578125,-0.8133318603515626,0.4848709167480469,0.0
,36,,,,,-69.561767578125,26.605224609375,-0.8619121765136719,0.45638565673828124,0.0
,37,,,,,-68.280029296875,21.20361328125,-0.8855290466308594,0.4396052490234375,0.0
,38,,,,,-71.81396484375,15.087890625,-0.897441064453125,0.40811608886718753,0.0
,39,,,,,-69.7174072265625,9.027099609375,-0.9261334899902344,0.3633683349609375,0.0
